Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,65.040001,65.489998,65.010002,65.480003,64.761772,16689300
2017-04-18,65.330002,65.709999,65.160004,65.389999,64.672760,15155600
2017-04-19,65.650002,65.750000,64.889999,65.040001,64.326599,26992800
2017-04-20,65.459999,65.750000,65.139999,65.500000,64.781548,22299500
2017-04-21,65.669998,66.699997,65.449997,66.400002,65.671677,32522600
2017-04-24,67.480003,67.660004,67.099998,67.529999,66.789284,29770000
2017-04-25,67.900002,68.040001,67.599998,67.919998,67.175003,30242700
2017-04-26,68.080002,68.309998,67.620003,67.830002,67.085999,26190800
2017-04-27,68.150002,68.379997,67.580002,68.269997,67.521164,34971000
2017-04-28,68.910004,69.139999,67.690002,68.459999,67.709076,39548800
2017-05-01,68.680000,69.550003,68.500000,69.410004,68.648666,31954400
2017-05-02,69.709999,69.709999,69.129997,69.300003,68.539871,23906100
2017-05-03,69.379997,69.379997,68.709999,69.080002,68.322281,28928000
2017-05-04,69.029999,69.080002,68.639999,68.809998,68.055244,21749400
2017-05-05,68.900002,69.029999,68.489998,69.000000,68.243156,19128800
2017-05-08,68.970001,69.050003,68.419998,68.940002,68.183823,18566100
2017-05-09,68.860001,69.279999,68.680000,69.040001,68.282722,22858400
2017-05-10,68.989998,69.559998,68.919998,69.309998,68.549751,17977800
2017-05-11,68.360001,68.730003,68.120003,68.459999,67.709076,28789400
2017-05-12,68.610001,68.610001,68.040001,68.379997,67.629959,18714100
2017-05-15,68.139999,68.480003,67.570000,68.430000,67.679413,31530300
2017-05-16,68.230003,69.440002,68.160004,69.410004,69.042160,34956000
2017-05-17,68.889999,69.099998,67.430000,67.480003,67.122383,30548800
2017-05-18,67.400002,68.129997,67.139999,67.709999,67.351158,25201300
2017-05-19,67.500000,68.099998,67.430000,67.690002,67.331268,26961100
2017-05-22,67.889999,68.500000,67.500000,68.449997,68.087234,16237600
2017-05-23,68.720001,68.750000,68.379997,68.680000,68.316025,15425800
2017-05-24,68.870003,68.879997,68.449997,68.769997,68.405540,14593900
2017-05-25,68.970001,69.879997,68.910004,69.620003,69.251045,21854100
2017-05-26,69.800003,70.220001,69.519997,69.959999,69.589233,19684700
2017-05-30,69.790001,70.410004,69.769997,70.410004,70.036858,17072800
2017-05-31,70.529999,70.739998,69.809998,69.839996,69.469872,30436400
2017-06-01,70.239998,70.610001,69.449997,70.099998,69.728493,21603600
2017-06-02,70.440002,71.860001,70.239998,71.760002,71.379700,34770300
2017-06-05,71.970001,72.889999,71.809998,72.279999,71.896942,33316800
2017-06-06,72.300003,72.620003,72.269997,72.519997,72.135666,31511100
2017-06-07,72.639999,72.769997,71.949997,72.389999,72.006363,22301800
2017-06-08,72.510002,72.519997,71.500000,71.949997,71.568687,24588300
2017-06-09,72.040001,72.080002,68.589996,70.320000,69.947327,49187400
2017-06-12,69.250000,69.940002,68.129997,69.779999,69.410194,47761700
2017-06-13,70.019997,70.820000,69.959999,70.650002,70.275581,25258600
2017-06-14,70.910004,71.099998,69.430000,70.269997,69.897591,25510700
2017-06-15,69.269997,70.209999,68.800003,69.900002,69.529556,26068700
2017-06-16,69.730003,70.029999,69.220001,70.000000,69.629028,48345100
2017-06-19,70.500000,70.940002,70.349998,70.870003,70.494415,23798300
2017-06-20,70.820000,70.870003,69.870003,69.910004,69.539505,21512200
2017-06-21,70.209999,70.620003,69.940002,70.269997,69.897591,19891100
2017-06-22,70.540001,70.589996,69.709999,70.260002,69.887650,22965700
2017-06-23,70.089996,71.250000,69.919998,71.209999,70.832611,27617300
2017-06-26,71.400002,71.709999,70.440002,70.529999,70.156219,19607000
